"Data Source","World Development Indicators",

"Last Updated Date","2025-04-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Benin","BEN","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","33.32624","33.95625","32.95244","","32.79162","33.24379","27.08335","","32.99804","36.29644","38.66781","41.25013","43.90907","47.59339","","","","","","","","","76.69552","","83.58132","","","","","","","","","","","","","","","","",
"Burkina Faso","BFA","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","","7.43154","7.88891","","","","","9.34184","9.67422","10.08639","10.8048","11.48837","12.50584","13.65414","14.51375","16.02022","17.67218","18.79343","19.29117","19.74278","","21.36674","21.8341","22.70059","23.67345","24.94242","","","28.29705","29.01118","29.99879","31.10795","31.05662","32.99755","35.84748","40.46028","43.7204","49.09273","55.53211","58.93276","57.39892","62.77919","63.99954","65.31431","66.49125","68.14274","74.06397","75.4478","77.69237","","","","","","",
"Bangladesh","BGD","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","34.56778","","","50.74888","","","","54.57236","53.73746","","","55.53359","","49.21855","52.90903","51.44759","51.01904","50.24342","64.54924","64.80315","68.95354","","","","","","","","","","","","","","","","","","93.66587","","","","","","","","","","","","","","","","",
"Bulgaria","BGR","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92.71352","94.18397","93.66937","94.57701","94.33859","94.62258","93.50685","94.06808","95.32423","94.00328","94.80095","","","","","","95.61473","93.79741","92.67867","90.18857","87.26579","86.31274","","","","","","","",
"Bahrain","BHR","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","","67.2291","70.65703","72.44004","72.5405","75.90756","73.8364","73.57305","72.7629","74.97447","78.13813","78.47891","76.92443","80.67743","85.49123","91.3604","95.87053","96.04177","97.88943","98.79704","","","97.96123","98.80626","99.01581","99.9328","","","","","","95.6837","95.05905","94.70552","93.73391","91.15046","93.4615","","","","","91.16974","91.84122","92.73228","94.69685","96.75294","96.98251","","95.85031","","","","","","",
"Bahamas, The","BHS","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","88.84671","89.7622","","","","","","89.74714","","","","","88.85849","90.30662","86.02969","86.97546","85.40346","82.75083","80.59475","85.48546","79.82857","74.58828","75.76249","79.61804","76.43089","","75.13181","","","","","","",
"Bosnia and Herzegovina","BIH","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belarus","BLR","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86.28125","","","","","","","","","","","","","","","","","","94.12549","93.26351","94.81762","96.18941","","94.80403","","","","","","",
"Belize","BLZ","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.11298","94.0137","91.56216","","92.39922","93.53502","92.56206","93.69454","93.7401","93.25755","94.49347","95.1229","94.04731","","94.99419","","","","","","","","","","","",
"Bermuda","BMU","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","","","","","","","","","77.90805","75.67483","","","","","88.63109","89.71643","","","","","","","","","","","","","","","","","","","","","","","","","","92.98893","90.61033","","","","","","","","","","","","",
"Bolivia","BOL","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93.53834","90.92034","88.24858","86.56157","85.92499","85.82587","86.85004","88.53281","90.63875","92.7218","","","","","","",
"Brazil","BRA","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92.07035","","","92.64555","","96.30223","","94.57989","98.69599","93.90186","94.72819","94.68207","","","","","","","","","",
"Barbados","BRB","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","","85.53299","86.89114","88.47069","","","98.15505","","","","","95.30617","93.19261","93.36505","","","","","","99.7782","96.64845","","89.22107","","","","","","","","95.50225","94.46057","91.74473","91.25868","89.78907","90.20329","91.85561","95.58731","96.96312","94.49267","95.69098","93.91218","","","93.18643","94.08345","95.91661","94.19739","95.73025","","","","","","",
"Brunei Darussalam","BRN","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","","","","","","","","88.56238","88.96851","79.53812","79.28354","76.56047","75.02992","76.39527","77.27961","","80.16044","","","","","89.07874","91.82186","95.46467","95.21316","98.14344","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
