"Data Source","World Development Indicators",

"Last Updated Date","2025-04-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Europe & Central Asia","ECS","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","","","92.57017","92.22044","92.12511","92.09185","92.32606","92.33407","92.45964","92.70827","92.65081","92.05526","92.17379","92.06862","92.98852","92.93647","93.52364","93.92684","94.46506","94.28719","94.42387","94.75297","94.35771","93.99448","93.72663","93.45778","93.85328","93.77974","94.48115","94.36985","94.01475","94.46448","94.81182","95.52639","95.06001","94.62559","94.75058","94.84232","95.11745","94.90468","95.26217","95.48155","95.48998","95.87507","95.65832","95.85017","95.88464","94.94759","94.86631","","","","","","",
"Ecuador","ECU","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","","79.13283","","79.44559","80.6499","80.43633","80.88395","83.79094","85.5475","88.33894","87.0204","","","","","","","","","","","","","","92.57643","93.11275","94.4018","96.86744","95.90437","95.72803","96.14464","97.58054","","","","96.65463","96.51678","","96.06828","","","","","","","","","","","","","","","","",
"Egypt, Arab Rep.","EGY","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","","51.44103","51.57135","51.34122","","","","","54.43943","","","","","","","","","","","","","","","","80.85954","","","84.15564","","84.2703","84.32374","85.45946","86.75323","88.22327","89.87591","","","","","","","","98.77074","","","","","","","","","","","","",
"Euro area","EMU","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","94.78505","94.79381","94.95411","94.81346","95.21968","95.22927","95.3675","95.3606","95.92637","96.29604","96.49627","96.42319","96.10532","95.60779","95.43535","95.31872","96.02723","96.46","96.49502","96.57611","96.25657","96.14644","95.13914","95.49376","95.03511","95.75209","96.83667","97.3","","97.61867","97.49598","97.49529","97.22747","97.01571","97.00405","97.64336","97.65115","97.88234","97.74909","97.56059","97.55384","97.84549","97.97542","98.01133","97.56492","97.72417","97.75038","97.64662","","","","","","","",
"Eritrea","ERI","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.82551","","31.44747","32.80085","35.03013","35.57592","","42.14775","49.21579","51.99748","59.19617","66.81974","71.79933","76.35411","78.21516","72.73174","67.87844","63.22522","58.72927","61.20952","62.87834","60.83393","59.86195","56.84125","","49.31431","48.97839","","","","","","",
"Spain","ESP","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","","94.65641","96.15856","96.89661","","","","","98.84569","99.12325","","","","","","","","","98.65923","99.35106","99.15713","","99.80466","","","","","","","","","","","","","","","","","","","","","","","","99.14276","97.64003","","","","","","","",
"Estonia","EST","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86.0757","89.90886","","","","","","","","94.15824","93.61403","92.48435","","","","","","","95.67367","94.4039","94.05861","94.06225","94.22231","","","","","","","",
"Ethiopia","ETH","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.33258","24.63089","24.1272","","","","","15.57176","17.27408","20.31181","","26.74153","29.31976","34.19589","38.47082","40.92992","42.06247","45.83056","57.21244","62.51473","67.71243","73.47839","73.60342","71.4706","75.02156","76.32373","","82.17773","81.45238","","","","","","","","","",
"European Union","EUU","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","95.68617","95.68864","95.74352","95.44732","95.57091","95.45712","95.46943","95.38032","95.60802","95.67564","95.71462","95.42447","95.34997","94.9907","94.86441","94.57944","94.989","95.42216","95.43023","95.24949","94.91878","94.65054","94.02398","94.60851","94.87823","95.40566","96.05786","96.73156","","96.99704","96.92621","97.18111","96.89326","96.78405","96.41265","96.77551","96.80176","96.77446","96.90748","96.8095","96.89155","97.12856","97.26783","97.41658","97.11725","97.16903","97.01525","96.89752","","","","","","","",
"Fragile and conflict affected situations","FCS","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","38.77498","38.43226","39.12789","41.12648","41.10255","42.1113","43.59118","44.44373","44.67011","46.70457","49.82468","52.92345","52.45953","53.76728","54.23408","53.87825","54.70658","53.53879","53.97712","52.80778","50.65855","54.64197","54.10509","54.50937","55.13633","55.17728","53.90937","53.04164","52.31906","51.63462","","","","","","61.05424","62.92962","64.73444","67.32392","","","","","","","72.23039","72.67399","72.52852","73.03517","","","","","","",
"Finland","FIN","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.71577","98.70792","98.36128","98.66977","98.79029","99.28539","","","","99.2396","98.41606","97.43083","97.20033","96.83591","97.40741","97.67784","97.86566","98.22126","98.44753","98.95621","99.0606","99.5321","99.16087","99.14555","98.75032","","","","","","","",
"Fiji","FJI","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","96.68551","","97.12341","95.78402","92.9044","93.34368","94.58192","94.56578","92.52423","95.55622","","99.96438","","","","","","96.74774","","","","97.77143","","98.4174","","","","","","","","","",
"France","FRA","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","","97.79763","97.81244","","","","","94.51584","","99.11278","99.65606","","97.76446","95.84342","","95.09114","97.59173","","","","","","99.21433","97.82435","97.7116","98.85628","","99.98995","","96.02289","95.72177","95.66658","95.61968","95.39752","95.47089","","","","98.31908","97.97137","97.51143","98.74835","98.83046","98.74117","97.90548","98.6654","99.11794","","","","","","","","",
"Faroe Islands","FRO","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86.19886","85.6523","","","","","","","","","",
"Gabon","GAB","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90.83163","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Kingdom","GBR","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","","98.17312","97.18734","96.25578","95.84084","95.86722","96.09413","96.39806","96.4931","96.63113","97.94528","97.85776","96.9457","95.27182","94.62636","93.68484","95.27015","98.21247","99.8621","","","98.44355","96.82892","","","","","","","","","","99.89481","","98.21016","","98.6815","96.7789","98.58817","97.82396","97.98666","98.16322","98.33276","99.60107","","","99.56731","99.34894","","","","","","","",
"Georgia","GEO","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90.7872","98.99836","","","","","","","","","","","","98.79657","96.98182","","97.76853","98.07147","","98.65099","","98.19462","","","","","","","","",
"Ghana","GHA","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.89835","61.53113","56.84276","59.54078","59.56639","","63.32062","63.04661","68.22566","73.55856","72.46616","","80.68405","","85.1253","87.16338","89.46214","87.10359","85.75493","85.08209","86.60582","","","","","",
"Gibraltar","GIB","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","","","","","","","","","76.03662","74.1038","","73.00744","75.46567","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guinea","GIN","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","16.02203","17.33926","16.26042","14.89338","15.68059","15.82208","15.47124","17.12235","","","","","","","31.72238","34.35298","38.03668","41.53634","48.13496","51.61877","54.6868","56.87337","59.21631","61.1535","60.43325","61.61344","62.33801","67.14649","67.47415","68.37204","71.09152","","68.77121","","","","","","","","",
"Gambia, The","GMB","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","","12.94044","13.21261","14.26398","14.91034","15.91601","16.89217","18.87205","20.52613","23.04455","26.81321","33.69399","37.2003","40.65948","43.92074","46.41071","46.88955","","","","","","39.86916","43.12576","","","51.79961","","54.33503","62.88655","60.67818","61.51654","59.32819","64.01466","65.82714","64.42384","68.95071","68.68118","66.30377","","64.44951","66.9375","69.6689","68.08046","71.44184","75.00634","77.15239","79.84201","80.63495","","","","","","",
"Guinea-Bissau","GNB","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","","","","","","","","","","","","29.78712","34.36461","","33.68853","34.02482","","29.22799","28.12645","","","","","","","","","","","","40.56695","","","","","","","","","","69.51317","","","","","","","","","","","","","","",
"Equatorial Guinea","GNQ","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63.13428","","","","","","58.41321","67.19064","64.64009","63.00199","","","","","46.75689","45.79761","45.22635","45.50814","46.80032","","","44.00494","","","","","","","","","",
"Greece","GRC","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","","91.84958","92.47306","93.77402","95.5177","96.08029","96.53888","96.06916","95.32508","94.10983","92.08873","93.80454","93.81826","94.70051","94.60031","94.44021","93.52119","91.10829","91.91613","91.30045","90.75441","90.53294","89.09158","87.31849","86.95302","89.6269","88.84115","89.91082","93.66773","94.80674","95.48793","94.41306","94.79961","95.18473","95.69192","94.85977","94.42389","94.53896","","","95.86262","96.08884","96.93929","96.83712","96.15159","97.09805","97.9252","98.45671","","","","","","","",
"Grenada","GRD","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","","","84.14351","","","","","97.63477","","","94.10824","90.68865","87.68407","87.88986","90.67041","","","","","","","","","","","","","","","","","","","","","93.08349","","","","","","","","","","","","","","","","","","","",
"Greenland","GRL","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guatemala","GTM","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","42.23365","43.20046","43.93483","","45.4893","46.36627","","","48.62257","","","53.59903","51.52807","54.53427","","","","","","","","","","","","","","67.43367","","76.32648","79.59488","80.22159","82.68057","","87.61804","89.37557","91.07532","92.37835","92.9733","96.04796","95.36747","92.97539","90.05156","87.49849","85.60512","85.24638","84.57024","85.59574","87.03699","","","","","","",
"Guam","GUM","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guyana","GUY","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","","87.22309","88.33775","","91.39207","","87.5927","92.16822","","89.32676","","","89.34636","","","","","","","","","91.24584","88.83853","87.52443","","89.20844","87.83213","","","","","","","90.678","","","","","92.42376","87.11118","90.35653","","","","","","","","","","","","","","",
"High income","HIC","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","","","88.92227","89.33904","89.1625","89.36731","89.90976","90.32189","90.54474","90.6924","92.79688","92.73261","93.15941","92.63535","92.07125","92.06759","92.75313","93.72327","94.22672","94.57422","94.39818","94.31439","93.8225","93.78694","93.67421","94.031","94.12244","93.68543","94.90122","94.72622","94.79554","95.02662","94.61046","94.93556","94.73213","95.08741","95.50985","95.8344","96.14903","95.93594","95.58284","95.58054","95.57613","95.57173","95.80243","96.26472","96.41842","96.22156","96.14082","","","","","","",
"Hong Kong SAR, China","HKG","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","","87.50555","88.76435","88.82329","90.21617","91.99724","93.85934","95.28625","94.97205","95.46696","99.33509","98.88392","98.72351","98.51133","97.75575","96.53091","","","","","","","","","","95.01585","94.16782","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Honduras","HND","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","","","","","","","","","","75.34568","75.71297","","85.63146","87.75465","89.0043","","89.97715","","","","","86.79371","","88.09414","","","","","","","86.34144","","","86.52539","86.02025","83.78781","87.67662","82.27979","85.8893","85.05423","85.78627","86.65916","83.6711","80.13631","79.52522","78.78149","80.43124","80.92844","","","","","","","",
"Heavily indebted poor countries (HIPC)","HPC","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","","","30.37216","31.37763","32.23606","34.17619","36.1848","37.82921","39.21477","40.42599","42.21245","43.49122","42.77159","43.48847","43.26664","43.09718","43.30138","42.61195","42.74269","41.64787","40.53856","42.13702","41.45529","41.44452","42.57322","44.41263","44.2244","47.41482","47.91597","48.25785","50.25977","52.81287","56.38552","","","","","","","73.56813","","","","","","","","78.4134","78.14911","","","","","","",
"Croatia","HRV","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83.75056","85.56233","87.18583","89.26959","","","","","","","88.00199","85.76269","85.6045","87.35711","","","","","","","","","","","","","",
"Haiti","HTI","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","","","","","","","","","","","","37.31501","41.75019","46.5816","43.08697","47.45512","50.27726","42.63961","","","","","","","","","","57.36856","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Hungary","HUN","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77.3119","86.25359","86.41044","86.70612","87.47911","88.04041","88.33657","87.93972","87.93755","88.40706","89.81524","88.91933","90.47364","91.42381","91.68665","91.12286","90.39292","90.22841","90.54055","90.67436","90.82401","90.10324","","","","","","","",
"IBRD only","IBD","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","66.45766","66.24722","67.28671","71.06325","72.41028","74.25359","74.77936","73.78587","70.98408","70.73641","71.84375","73.09242","73.71151","74.51594","75.50982","77.60719","79.97296","81.03988","82.02613","83.72324","83.54602","84.03041","83.89713","84.37758","84.66231","84.0768","84.28642","83.98038","84.94679","86.51708","87.13214","87.37723","87.52658","90.15011","91.04048","91.47789","91.86878","92.99068","93.58286","93.77277","93.93265","93.8305","93.82379","93.83282","93.79607","93.91141","93.94197","93.99825","93.9923","","","","","","",
"IDA & IBRD total","IBT","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","58.81266","58.4536","59.80279","63.44395","64.63868","66.55485","67.25174","66.99819","65.03848","65.30091","66.60972","68.0415","68.61436","69.24562","69.93654","71.2494","72.63802","73.11995","74.0077","75.08323","74.77086","75.39339","75.36734","75.80973","76.1548","75.82562","75.77144","76.0539","76.84934","77.99922","78.85754","79.16701","79.64159","82.01725","83.44573","84.22542","84.83086","86.0985","86.58039","86.86459","86.95405","87.159","87.31094","87.33102","87.45087","87.22372","87.37504","87.21036","87.27028","","","","","","",
"IDA total","IDA","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","","","32.02655","35.09204","35.65939","37.6395","38.92846","41.37761","42.68706","45.10903","47.41526","49.8855","50.62072","51.09309","51.26974","50.58186","49.51956","48.98818","50.2413","50.03511","49.79495","51.06825","51.6425","52.21277","52.85007","53.23409","52.54972","54.50168","55.24595","55.86183","58.02472","59.43389","61.52256","63.98322","66.40502","68.34811","69.77033","","","","","","","","","","","","","","","","","","",
"IDA blend","IDB","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53.94938","55.57571","57.53137","57.8411","57.51591","59.90419","61.95302","63.20226","62.89806","65.62021","63.16285","64.43786","65.3204","66.23072","66.66148","","","","","","","","","","","","",
"Indonesia","IDN","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","","64.97287","66.09758","","63.63501","68.58822","71.81099","","80.85473","","","85.4964","","","","","","96.5612","","96.20638","94.69707","93.84556","92.80349","91.71061","92.04318","91.711","91.25248","91.17466","","","","91.27721","90.86566","89.80657","88.88332","87.51888","90.35039","91.99975","92.23255","92.68116","94.47534","95.58735","93.29728","90.99734","89.41192","","90.33389","91.77869","90.9674","","","","","","",
"IDA only","IDX","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","30.80284","29.09711","32.01279","35.82015","35.41899","38.08784","39.92616","42.05371","43.284","44.60698","46.44432","47.83741","47.12889","47.29298","47.86522","47.45315","47.59928","47.30039","49.93908","49.94334","49.38188","51.08116","51.40712","51.48519","52.46394","53.53179","53.74724","55.68291","55.92036","56.04075","58.29941","60.2395","63.48551","65.98163","68.56368","","73.05333","74.55365","76.62092","77.24479","77.18744","78.36769","79.21669","","","","79.95426","79.6228","79.50888","","","","","","",
"Isle of Man","IMN","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"India","IND","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","","47.9378","","","","","","","","","","","","","","","","","","","65.57641","","","","","","","","","","73.18593","73.51308","73.865","82.96788","","","","90.92672","91.95885","92.31843","92.35823","92.04912","92.43548","93.02689","","","","","","","","","","","",
"Not classified","INX","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ireland","IRL","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","","98.4323","97.47802","97.73443","96.59154","96.5388","96.39257","96.18351","96.26221","95.53647","94.41132","92.6679","90.53265","89.00605","","","87.90104","88.46551","89.36452","89.96046","90.40896","89.65726","88.60121","88.2076","88.29621","88.63355","89.54941","","","94.2584","","94.27043","","","","","","","","","","97.31237","","","","","","","","","","","","","",
"Iran, Islamic Rep.","IRN","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","74.43465","75.84309","77.71379","78.3658","80.23005","81.50243","86.91748","","91.58669","","","","","89.40619","","83.59534","84.52041","","94.65108","93.88835","95.66397","93.66697","94.24863","94.74009","","97.27738","96.26721","96.3948","97.51399","","","","","","","","","","","","",
"Iraq","IRQ","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","","34.97415","36.45213","38.63533","41.14137","44.23178","51.15588","55.19624","58.82989","81.22215","88.0661","88.81897","","84.58905","","82.05387","82.82528","84.27801","86.30407","83.71721","","","","74.17802","","","71.44136","","","83.37762","82.40181","","","","86.77866","","","86.91796","","","","","","","","","","","","","","","","","",
"Iceland","ISL","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.32543","","98.44095","98.86128","99.05044","","","","","97.19316","95.40354","95.59117","96.76469","98.35124","99.51226","","99.52137","98.90912","98.35787","97.70874","97.6539","98.52406","99.37185","","","","","","","","",
"Israel","ISR","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Italy","ITA","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","","","","","","","99.16588","","","99.54315","","","","","","99.19013","","","","","","","","","","","97.85218","99.08162","","","","","","","","","","","","","","","","97.58391","96.86586","96.35694","95.76382","95.36984","","","","","","","",
"Jamaica","JAM","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","","","","","","96.26805","93.67281","94.38466","","98.10229","98.46277","97.67997","","98.99577","97.77829","96.86706","97.00761","97.49165","95.03253","98.8042","97.65581","96.04081","","91.73084","","","","","","90.21696","91.46757","91.50813","91.44173","90.29403","91.99367","","","","","","","","","","","88.5697","84.4568","82.74604","81.26045","","","","","","",
"Jordan","JOR","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","","","80.61804","86.26344","","","","","94.86776","95.13012","91.44087","90.05813","89.54815","87.63735","87.42596","89.42158","","","","","","","","","","","","","","87.86538","88.42867","","90.15669","91.72847","91.97269","90.79131","89.04175","86.07493","83.33206","","79.98633","77.41865","74.35083","74.04019","","","76.24419","79.54806","80.17565","","","","","","",
"Japan","JPN","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Kazakhstan","KAZ","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87.21614","","91.27662","","","","89.70847","89.03375","","","","","","","","","","","","","","","","","",
"Kenya","KEN","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61.17905","64.41405","65.35426","59.61142","70.49688","68.90299","69.72363","69.1752","78.46248","75.20878","76.39434","","","81.68963","","","","","","","","","","","","",
"Kyrgyz Republic","KGZ","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90.45844","","","86.56954","85.59688","85.77534","85.59525","84.72572","89.74189","87.13952","88.07169","86.9696","86.94104","86.50296","86.74847","86.75932","88.83152","","","","","","","","","","","","",
"Cambodia","KHM","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76.28283","78.27238","81.32934","87.05899","","","","","","93.97854","93.97246","92.68506","","92.67004","","","","93.98912","96.56381","92.7302","90.32308","90.19264","","","","","","",
"Kiribati","KIR","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","98.8621","98.5166","94.71342","","98.35192","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Kitts and Nevis","KNA","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","81.31102","86.89907","","","","","","","","","","","","","","","","","","","","","","90.90598","","","","","","","","","","","","","","","","",
"Korea, Rep.","KOR","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","","94.11856","96.13713","95.48572","95.26903","95.98621","97.06411","96.34436","96.84821","98.61157","","","","","99.33982","98.85845","98.5464","99.69455","","","","","","","","","","","","","99.76611","98.40986","97.85967","98.45525","98.03165","","","","","99.57721","","","98.13176","95.56108","95.92161","97.95807","96.81279","97.15902","","","","","","","",
"Kuwait","KWT","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","","55.31763","60.81075","63.88534","63.57231","64.35845","66.56629","71.74721","77.34045","75.54382","77.24723","78.84504","80.24472","83.54158","84.92807","84.7819","84.34625","79.66392","78.52063","","","","46.58486","","67.70678","","85.53804","84.24244","","85.45721","86.1538","88.79821","93.91602","","","94.93018","","","","","","","","","","","92.12699","87.05552","86.86493","","","","","","",
"Latin America & Caribbean (excluding high income)","LAC","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","81.71546","82.02622","82.59541","83.44274","84.13042","84.35726","85.13972","86.1414","86.74287","88.45204","88.9761","90.17954","90.46124","90.60572","90.50709","90.97202","90.73254","90.88164","90.58643","89.74002","90.26429","90.62783","91.3644","91.65882","91.12024","90.98518","91.39955","91.36983","","93.3449","94.03296","","93.97929","93.11855","93.49142","94.49856","94.26617","93.96783","94.93857","95.03911","94.9917","94.81959","95.06219","93.80947","93.71312","93.68508","94.03409","93.9758","93.96438","","","","","","",
"Lao PDR","LAO","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53.71143","58.07887","61.56897","","64.4573","67.14497","70.40174","71.39967","72.28151","71.90024","72.98971","75.57097","76.76117","78.19326","79.59958","82.37669","85.11859","87.95014","92.50821","92.8464","92.82731","94.89142","95.39933","94.01312","92.92997","91.72209","90.64573","","","","","","",
"Lebanon","LBN","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Liberia","LBR","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.04987","","","","","","","36.13472","","42.36552","","","","","","37.33524","","","44.40058","","","","","","","",
"Libya","LBY","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","","63.9801","74.03252","","","","","","90.31429","","","94.12282","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Lucia","LCA","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","","","","","","","","","","","","97.10455","97.81398","","","","","","","","95.91662","","","","","","","","","","87.15985","87.40533","","","92.37668","90.16768","92.50739","91.79998","","","","","","","","","93.97092","95.17437","96.08382","","","","","","",
"Latin America & Caribbean","LCN","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","82.64755","82.98282","83.50226","84.29716","84.89521","85.10188","85.85403","86.79493","87.34987","88.90941","89.37124","90.56664","90.71428","90.75877","90.556","91.00293","90.72041","90.83276","90.52273","89.76257","90.3015","90.64339","91.27846","91.56825","91.04648","90.91717","91.31869","90.48603","","93.29252","93.92545","","93.8301","92.98412","93.48408","94.45332","94.27547","94.02604","94.9612","94.99954","95.00301","94.77791","94.99862","93.77119","93.6423","93.59806","93.90233","93.87033","93.8643","","","","","","",
"Least developed countries: UN classification","LDC","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","28.28805","26.36815","29.51175","33.48462","33.07053","35.99184","37.89326","40.15255","41.48553","42.82067","44.70796","45.95404","44.92837","45.02923","45.62408","44.9395","45.19357","44.76783","47.67229","47.60985","47.03165","48.6695","48.91322","49.12683","50.05767","51.2818","51.52341","53.62724","53.92714","54.11293","56.53984","58.72146","62.19595","65.23874","","","","74.4765","76.57559","77.27672","76.9684","77.85486","","","79.72205","79.15789","79.11963","78.69473","78.44513","","","","","","",
"Low income","LIC","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","","","26.00015","27.54518","28.92891","31.27078","33.64236","35.7477","37.42727","38.64081","40.70191","42.01376","41.00272","41.84864","41.68505","41.25202","41.48309","40.72161","41.20792","40.94381","40.1761","41.80602","41.33829","41.27359","42.52779","44.54874","44.52156","47.49886","47.98481","48.32057","50.66129","53.01202","57.2739","","","","","","","74.90432","","","","","","78.10684","78.33798","","","","","","","","",
"Liechtenstein","LIE","School enrollment, primary, female (% net)","SE.PRM.NENR.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90.11815","","","","","","","","","","",
